ID,ID2,CCAA,multicultural,economy,homosexuals,antiterrorist,decentralization,vote,candidate_PSOE,candidate_PP,candidate_IU,national_id,proud_Spain,weight
96,2750   96,16,5,5,7,4,2,2,3,5,1,3,2,0.881
97,2750   97,16,6,98,7,2,3,2,4,5,98,4,8,0.881
98,2750   98,16,6,98,98,98,2,0,98,98,97,3,3,0.881
101,2750  101,16,98,5,1,7,4,7,2,1,1,5,3,0.881
102,2750  102,16,5,4,5,5,8,0,5,5,98,4,8,0.881
103,2750  103,16,3,4,2,98,2,1,7,3,3,3,2,0.881
105,2750  105,16,5,5,5,4,2,0,5,1,4,3,2,0.881
119,2750  119,16,2,4,2,8,4,0,2,2,3,5,4,0.881
120,2750  120,16,2,5,2,9,3,0,6,8,4,4,4,0.881
121,2750  121,16,1,5,1,9,4,0,0,0,2,5,4,0.881
123,2750  123,16,5,5,8,9,3,7,4,2,3,4,3,0.881
126,2750  126,16,6,5,6,7,2,1,6,3,2,3,2,0.881
137,2750  137,16,5,5,5,5,2,0,0,0,0,7,9,0.881
139,2750  139,16,5,5,3,7,2,1,8,1,4,3,2,0.881
140,2750  140,16,2,3,0,7,3,1,4,9,3,4,9,0.881
141,2750  141,16,6,5,7,2,1,0,6,6,6,3,2,0.881
143,2750  143,16,2,4,1,9,3,0,0,0,0,7,9,0.881
144,2750  144,16,7,99,1,1,9,0,99,99,99,3,2,0.881
146,2750  146,16,0,4,0,10,4,3,4,8,3,7,9,0.881
243,2750  243,16,5,98,4,98,3,0,5,5,5,4,2,0.881
255,2750  255,16,4,4,3,6,4,7,5,3,2,5,4,0.881
258,2750  258,16,3,6,7,7,3,7,5,5,3,4,4,0.881
271,2750  271,16,0,2,0,10,4,0,0,0,3,5,4,0.881
277,2750  277,16,5,5,4,9,4,7,5,8,4,4,4,0.881
278,2750  278,16,3,5,2,9,3,1,4,8,4,7,9,0.881
284,2750  284,16,2,0,9,0,2,2,3,6,1,1,1,0.881
286,2750  286,16,5,5,8,8,3,7,5,3,1,4,2,0.881
288,2750  288,16,4,5,2,7,3,99,7,5,5,3,2,0.881
289,2750  289,16,2,1,10,0,1,2,4,8,0,1,1,0.881
290,2750  290,16,0,5,0,6,2,1,7,5,3,3,1,0.881
293,2750  293,16,3,2,0,10,4,49,4,0,2,4,3,0.881
295,2750  295,16,0,3,0,10,3,0,4,1,1,4,3,0.881
297,2750  297,16,4,5,2,0,2,0,3,3,2,3,2,0.881
298,2750  298,16,7,8,5,8,2,1,6,2,2,3,2,0.881
299,2750  299,16,1,3,1,8,3,0,2,0,2,5,4,0.881
300,2750  300,16,0,2,0,10,3,7,5,2,2,4,2,0.881
301,2750  301,16,7,3,8,8,3,7,3,0,2,4,3,0.881
302,2750  302,16,3,2,3,9,3,7,6,3,3,4,3,0.881
304,2750  304,16,6,7,7,2,2,2,3,6,2,2,1,0.881
305,2750  305,16,9,3,10,0,2,2,1,7,0,1,1,0.881
306,2750  306,16,1,98,2,2,2,96,5,4,2,3,1,0.881
307,2750  307,16,2,3,2,6,2,1,7,2,2,3,1,0.881
353,2750  353,16,4,4,98,6,2,1,7,5,3,3,3,0.881
354,2750  354,16,7,5,2,7,3,3,6,4,8,4,3,0.881
355,2750  355,16,7,3,7,3,2,0,0,6,2,3,3,0.881
356,2750  356,16,6,3,98,4,2,0,6,4,5,3,3,0.881
357,2750  357,16,4,5,6,3,2,0,5,5,5,3,3,0.881
358,2750  358,16,3,4,5,4,2,0,5,5,5,3,3,0.881
359,2750  359,16,3,98,3,4,3,0,6,5,5,4,3,0.881
361,2750  361,16,3,4,3,98,3,1,5,2,3,3,2,0.881
371,2750  371,7,3,5,2,3,2,1,7,4,5,3,1,0.827
372,2750  372,7,7,98,7,3,2,0,5,4,98,1,2,0.827
376,2750  376,7,3,4,5,8,2,1,8,5,0,3,2,0.827
377,2750  377,7,5,6,6,3,2,1,8,4,5,3,2,0.827
378,2750  378,7,3,3,3,4,2,99,6,5,97,3,2,0.827
379,2750  379,7,3,5,98,7,2,1,7,6,0,3,2,0.827
388,2750  388,7,5,5,98,6,8,99,5,5,4,3,2,0.827
390,2750  390,7,3,5,9,0,3,1,8,0,5,3,1,0.827
391,2750  391,7,10,5,99,0,1,2,4,5,3,1,1,0.827
392,2750  392,7,6,3,9,6,2,1,8,2,5,2,1,0.827
393,2750  393,7,2,1,99,1,1,1,7,6,98,1,1,0.827
429,2750  429,7,5,0,0,0,2,1,10,3,3,3,1,0.827
430,2750  430,7,5,4,2,0,2,2,5,7,4,3,1,0.827
435,2750  435,7,5,0,0,10,2,1,8,5,5,3,1,0.827
437,2750  437,7,7,8,4,0,1,2,5,7,3,3,1,0.827
457,2750  457,7,2,2,3,4,2,99,7,6,4,3,2,0.827
460,2750  460,7,7,5,7,0,1,2,0,0,0,3,2,0.827
463,2750  463,7,5,8,0,0,3,1,9,6,5,3,1,0.827
467,2750  467,7,5,5,10,5,2,2,4,7,0,3,1,0.827
469,2750  469,7,99,8,5,4,2,1,6,5,3,3,1,0.827
471,2750  471,7,3,4,7,0,2,2,2,4,98,2,1,0.827
477,2750  477,7,3,3,2,3,2,1,5,1,98,4,2,0.827
478,2750  478,7,7,5,8,6,3,0,6,5,7,3,1,0.827
479,2750  479,7,5,5,9,0,2,0,2,4,98,3,2,0.827
481,2750  481,7,2,6,0,0,2,1,8,0,7,3,1,0.827
485,2750  485,7,2,5,3,3,1,0,4,4,4,3,1,0.827
486,2750  486,7,0,2,1,5,1,1,6,5,3,3,2,0.827
489,2750  489,7,10,5,10,10,8,1,10,5,98,3,1,0.827
490,2750  490,7,5,5,4,0,2,99,10,9,98,3,1,0.827
508,2750  508,7,5,5,98,7,8,0,98,9,97,2,1,0.827
509,2750  509,7,7,2,2,9,2,1,5,10,2,3,1,0.827
513,2750  513,7,2,2,2,8,3,1,9,4,7,1,2,0.827
514,2750  514,7,5,5,10,5,8,99,98,98,3,2,1,0.827
515,2750  515,7,7,5,3,2,2,99,6,6,98,1,1,0.827
516,2750  516,7,6,5,5,5,2,1,5,10,98,3,1,0.827
517,2750  517,7,7,5,5,5,2,99,5,7,1,3,2,0.827
518,2750  518,7,8,2,10,1,3,2,5,6,0,1,1,0.827
519,2750  519,7,2,2,2,98,1,0,6,5,5,1,1,0.827
