Studynum,ID,CCAA,multicultural,economy,homosexuals,antiterrorist,decentralization,vote,candidate_IU,candidate_PSOE,candidate_PP,national_id,proud_Spain,weight
2915,1,16,6,6,7,1,3,0,98,3,5,3,3,0.7069
2915,2,16,1,98,3,5,3,7,98,2,0,5,3,0.7069
2915,3,16,6,3,8,1,3,1,2,3,7,3,2,0.7069
2915,5,16,5,5,5,5,3,2,98,6,2,3,2,0.7069
2915,6,16,5,5,0,10,5,6,98,6,4,4,8,0.7069
2915,7,16,1,3,0,9,4,99,6,2,2,4,3,0.7069
2915,8,16,0,2,0,10,5,6,97,0,0,4,3,0.7069
2915,9,16,0,5,0,10,4,99,97,6,5,3,2,0.7069
2915,11,16,4,5,0,10,5,6,97,1,0,4,3,0.7069
2915,12,16,6,5,7,3,2,0,0,0,0,3,2,0.7069
2915,14,16,2,4,3,7,3,7,4,2,4,4,3,0.7069
2915,15,16,6,6,6,4,3,0,0,0,0,4,4,0.7069
2915,16,16,4,3,6,3,2,0,99,3,3,3,2,0.7069
2915,17,16,3,3,4,3,3,0,0,0,0,4,3,0.7069
2915,21,16,3,4,5,4,3,0,98,0,0,3,3,0.7069
2915,23,16,4,98,5,5,3,0,0,0,0,4,3,0.7069
2915,24,16,7,2,7,1,3,1,98,1,6,3,2,0.7069
2915,25,16,5,98,3,6,4,0,98,4,3,4,3,0.7069
2915,26,16,3,5,3,3,3,0,0,0,0,4,3,0.7069
2915,27,16,3,3,3,4,3,2,99,5,3,3,3,0.7069
2915,29,16,2,4,3,4,3,2,98,6,3,3,3,0.7069
2915,30,16,2,3,3,5,3,99,98,0,2,4,3,0.7069
2915,31,16,99,5,5,3,2,0,4,5,5,3,2,0.7069
2915,34,16,1,4,8,2,2,0,98,0,0,8,2,0.7069
2915,39,16,1,6,4,4,3,0,98,4,3,4,3,0.7069
2915,40,16,2,3,1,5,3,99,97,0,0,4,3,0.7069
2915,41,16,2,5,1,2,3,0,97,0,0,3,2,0.7069
2915,44,16,5,5,1,10,4,6,97,0,0,3,2,0.7069
2915,45,16,5,5,6,4,3,2,97,7,5,3,2,0.7069
2915,46,16,2,5,5,5,4,99,5,5,5,4,2,0.7069
2915,48,16,2,4,1,6,3,3,98,5,2,3,2,0.7069
2915,49,16,4,3,1,5,4,2,97,5,0,3,2,0.7069
2915,50,16,1,2,0,10,5,6,2,2,0,4,3,0.7069
2915,51,16,7,5,1,5,3,0,97,0,0,3,2,0.7069
2915,52,16,2,5,6,5,3,2,97,5,5,2,2,0.7069
2915,53,16,3,5,0,0,3,77,97,4,4,2,2,0.7069
2915,54,16,2,4,1,10,5,6,97,2,0,4,3,0.7069
2915,56,16,0,4,0,7,4,77,6,1,0,4,3,0.7069
2915,58,16,2,2,0,8,3,15,5,4,4,4,3,0.7069
2915,59,16,2,5,0,5,3,3,98,5,3,3,2,0.7069
2915,60,16,1,6,0,7,4,99,4,4,0,3,2,0.7069
2915,62,16,0,0,0,10,3,7,98,2,2,3,2,0.7069
2915,65,16,1,1,0,7,3,0,0,0,0,3,2,0.7069
2915,66,16,5,6,7,5,3,99,97,7,5,2,2,0.7069
2915,68,16,2,5,6,8,3,99,1,3,8,3,2,0.7069
2915,72,16,5,2,2,5,3,2,5,6,2,7,2,0.7069
2915,76,16,0,6,0,10,5,7,5,6,5,3,2,0.7069
2915,78,16,1,1,1,8,5,7,4,5,4,5,4,0.7069
2915,83,16,3,3,1,6,3,1,97,3,8,3,1,0.7069
2915,84,16,7,5,10,5,2,1,3,3,5,2,1,0.7069
2915,85,16,6,7,6,2,3,0,98,2,2,3,9,0.7069
2915,86,16,3,5,2,6,3,1,5,4,7,3,2,0.7069
2915,87,16,0,3,0,10,5,6,5,4,3,5,4,0.7069
2915,88,16,7,7,7,7,3,99,97,5,5,4,3,0.7069
2915,89,16,5,5,4,8,3,99,97,6,6,2,1,0.7069
2915,90,16,3,3,3,3,3,98,6,5,5,2,3,0.7069
2915,91,16,3,3,3,6,8,99,99,99,99,2,2,0.7069
2915,93,16,3,3,8,8,3,0,5,4,4,3,9,0.7069
2915,95,16,4,5,2,7,1,6,4,2,2,4,4,0.7069
2915,99,16,7,3,5,4,2,0,97,7,8,3,2,0.7069
2915,101,16,1,8,98,6,2,0,97,4,5,3,8,0.7069
2915,107,16,8,4,8,2,2,0,98,98,98,2,2,0.7069
2915,113,7,10,3,1,0,2,1,5,6,6,1,1,0.773
2915,115,7,0,5,0,0,3,97,3,6,98,3,1,0.773
2915,116,7,2,5,4,10,3,4,98,5,7,3,1,0.773
2915,117,7,0,5,5,0,1,1,2,0,10,2,1,0.773
2915,118,7,2,5,10,0,2,1,0,3,5,1,1,0.773
2915,119,7,5,7,5,0,1,1,1,5,7,3,1,0.773
2915,120,7,2,2,0,2,3,2,5,6,4,3,1,0.773
2915,121,7,7,2,98,0,2,2,5,4,3,1,1,0.773
2915,122,7,8,3,0,0,1,2,3,10,5,3,1,0.773
2915,123,7,6,4,1,1,3,1,98,5,7,3,1,0.773
2915,124,7,0,1,2,0,3,1,5,4,5,3,2,0.773
2915,125,7,4,4,0,10,3,2,6,10,10,3,1,0.773
